일련번호,꽃받침 길이,꽃받침 너비,꽃잎 길이,꽃잎 너비,종류
1,5.1,3.5,1.4,0.2,세토사
2,4.9,3,1.4,0.2,세토사
3,4.7,3.2,1.3,0.2,세토사
4,4.6,3.1,1.5,0.2,세토사
5,5,3.6,1.4,0.2,세토사
6,5.4,3.9,1.7,0.4,세토사
7,4.6,3.4,1.4,0.3,세토사
8,5,3.4,1.5,0.2,세토사
9,4.4,2.9,1.4,0.2,세토사
10,4.9,3.1,1.5,0.1,세토사
11,5.4,3.7,1.5,0.2,세토사
12,4.8,3.4,1.6,0.2,세토사
13,4.8,3,1.4,0.1,세토사
14,4.3,3,1.1,0.1,세토사
15,5.8,4,1.2,0.2,세토사
16,5.7,4.4,1.5,0.4,세토사
17,5.4,3.9,1.3,0.4,세토사
18,5.1,3.5,1.4,0.3,세토사
19,5.7,3.8,1.7,0.3,세토사
20,5.1,3.8,1.5,0.3,세토사
21,5.4,3.4,1.7,0.2,세토사
22,5.1,3.7,1.5,0.4,세토사
23,4.6,3.6,1,0.2,세토사
24,5.1,3.3,1.7,0.5,세토사
25,4.8,3.4,1.9,0.2,세토사
26,5,3,1.6,0.2,세토사
27,5,3.4,1.6,0.4,세토사
28,5.2,3.5,1.5,0.2,세토사
29,5.2,3.4,1.4,0.2,세토사
30,4.7,3.2,1.6,0.2,세토사
31,4.8,3.1,1.6,0.2,세토사
32,5.4,3.4,1.5,0.4,세토사
33,5.2,4.1,1.5,0.1,세토사
34,5.5,4.2,1.4,0.2,세토사
35,4.9,3.1,1.5,0.1,세토사
36,5,3.2,1.2,0.2,세토사
37,5.5,3.5,1.3,0.2,세토사
38,4.9,3.1,1.5,0.1,세토사
39,4.4,3,1.3,0.2,세토사
40,5.1,3.4,1.5,0.2,세토사
41,5,3.5,1.3,0.3,세토사
42,4.5,2.3,1.3,0.3,세토사
43,4.4,3.2,1.3,0.2,세토사
44,5,3.5,1.6,0.6,세토사
45,5.1,3.8,1.9,0.4,세토사
46,4.8,3,1.4,0.3,세토사
47,5.1,3.8,1.6,0.2,세토사
48,4.6,3.2,1.4,0.2,세토사
49,5.3,3.7,1.5,0.2,세토사
50,5,3.3,1.4,0.2,세토사
51,7,3.2,4.7,1.4,버시컬러
52,6.4,3.2,4.5,1.5,버시컬러
53,6.9,3.1,4.9,1.5,버시컬러
54,5.5,2.3,4,1.3,버시컬러
55,6.5,2.8,4.6,1.5,버시컬러
56,5.7,2.8,4.5,1.3,버시컬러
57,6.3,3.3,4.7,1.6,버시컬러
58,4.9,2.4,3.3,1,버시컬러
59,6.6,2.9,4.6,1.3,버시컬러
60,5.2,2.7,3.9,1.4,버시컬러
61,5,2,3.5,1,버시컬러
62,5.9,3,4.2,1.5,버시컬러
63,6,2.2,4,1,버시컬러
64,6.1,2.9,4.7,1.4,버시컬러
65,5.6,2.9,3.6,1.3,버시컬러
66,6.7,3.1,4.4,1.4,버시컬러
67,5.6,3,4.5,1.5,버시컬러
68,5.8,2.7,4.1,1,버시컬러
69,6.2,2.2,4.5,1.5,버시컬러
70,5.6,2.5,3.9,1.1,버시컬러
71,5.9,3.2,4.8,1.8,버시컬러
72,6.1,2.8,4,1.3,버시컬러
73,6.3,2.5,4.9,1.5,버시컬러
74,6.1,2.8,4.7,1.2,버시컬러
75,6.4,2.9,4.3,1.3,버시컬러
76,6.6,3,4.4,1.4,버시컬러
77,6.8,2.8,4.8,1.4,버시컬러
78,6.7,3,5,1.7,버시컬러
79,6,2.9,4.5,1.5,버시컬러
80,5.7,2.6,3.5,1,버시컬러
81,5.5,2.4,3.8,1.1,버시컬러
82,5.5,2.4,3.7,1,버시컬러
83,5.8,2.7,3.9,1.2,버시컬러
84,6,2.7,5.1,1.6,버시컬러
85,5.4,3,4.5,1.5,버시컬러
86,6,3.4,4.5,1.6,버시컬러
87,6.7,3.1,4.7,1.5,버시컬러
88,6.3,2.3,4.4,1.3,버시컬러
89,5.6,3,4.1,1.3,버시컬러
90,5.5,2.5,4,1.3,버시컬러
91,5.5,2.6,4.4,1.2,버시컬러
92,6.1,3,4.6,1.4,버시컬러
93,5.8,2.6,4,1.2,버시컬러
94,5,2.3,3.3,1,버시컬러
95,5.6,2.7,4.2,1.3,버시컬러
96,5.7,3,4.2,1.2,버시컬러
97,5.7,2.9,4.2,1.3,버시컬러
98,6.2,2.9,4.3,1.3,버시컬러
99,5.1,2.5,3,1.1,버시컬러
100,5.7,2.8,4.1,1.3,버시컬러
101,6.3,3.3,6,2.5,버지니카
102,5.8,2.7,5.1,1.9,버지니카
103,7.1,3,5.9,2.1,버지니카
104,6.3,2.9,5.6,1.8,버지니카
105,6.5,3,5.8,2.2,버지니카
106,7.6,3,6.6,2.1,버지니카
107,4.9,2.5,4.5,1.7,버지니카
108,7.3,2.9,6.3,1.8,버지니카
109,6.7,2.5,5.8,1.8,버지니카
110,7.2,3.6,6.1,2.5,버지니카
111,6.5,3.2,5.1,2,버지니카
112,6.4,2.7,5.3,1.9,버지니카
113,6.8,3,5.5,2.1,버지니카
114,5.7,2.5,5,2,버지니카
115,5.8,2.8,5.1,2.4,버지니카
116,6.4,3.2,5.3,2.3,버지니카
117,6.5,3,5.5,1.8,버지니카
118,7.7,3.8,6.7,2.2,버지니카
119,7.7,2.6,6.9,2.3,버지니카
120,6,2.2,5,1.5,버지니카
121,6.9,3.2,5.7,2.3,버지니카
122,5.6,2.8,4.9,2,버지니카
123,7.7,2.8,6.7,2,버지니카
124,6.3,2.7,4.9,1.8,버지니카
125,6.7,3.3,5.7,2.1,버지니카
126,7.2,3.2,6,1.8,버지니카
127,6.2,2.8,4.8,1.8,버지니카
128,6.1,3,4.9,1.8,버지니카
129,6.4,2.8,5.6,2.1,버지니카
130,7.2,3,5.8,1.6,버지니카
131,7.4,2.8,6.1,1.9,버지니카
132,7.9,3.8,6.4,2,버지니카
133,6.4,2.8,5.6,2.2,버지니카
134,6.3,2.8,5.1,1.5,버지니카
135,6.1,2.6,5.6,1.4,버지니카
136,7.7,3,6.1,2.3,버지니카
137,6.3,3.4,5.6,2.4,버지니카
138,6.4,3.1,5.5,1.8,버지니카
139,6,3,4.8,1.8,버지니카
140,6.9,3.1,5.4,2.1,버지니카
141,6.7,3.1,5.6,2.4,버지니카
142,6.9,3.1,5.1,2.3,버지니카
143,5.8,2.7,5.1,1.9,버지니카
144,6.8,3.2,5.9,2.3,버지니카
145,6.7,3.3,5.7,2.5,버지니카
146,6.7,3,5.2,2.3,버지니카
147,6.3,2.5,5,1.9,버지니카
148,6.5,3,5.2,2,버지니카
149,6.2,3.4,5.4,2.3,버지니카
150,5.9,3,5.1,1.8,버지니카
